IDRenglonVR,IDSubDeterminacionVR,Categoria,ValoresNormales,InformarUnidades
3180,4730,Negativo:,Dilucion de corte: 1/20,1
3181,4732,Negativo:,Menor de 25,1
3182,4732,Indeterminado:," 25 a 35",1
3183,4732,Positivo:,Mayor de 35,1
3184,4733,Negativo:,Menor a 20,1
3185,4733,Positivo débil:," 20 - 39",1
3186,4733,Positivo moderado:," 40-80",1
3187,4733,Positivo fuerte:,Mayor a 80,1
3189,4735,Valores de referencia:,"3,7 a 31,5",1
3190,4736,Valor de referencia:,7 a 23,1
3191,3554,,,1
3194,4748,Valor de referencia:,"6,0 a 8,0",1
3195,4749,Valor de referencia:,de 17 a 19,1
3196,4750,Valor de referencia:,de 211.000 a 375.000,1
3197,4751,Hombre:,10-60,1
3198,4751,Mujer:,,0
3199,4751,Fase folicular:,50-100,1
3200,4751,Fase lutea:,100-300,1
3201,4751,Postmenopausia:,10-60,1
3202,4751,Prepuberes:,Hasta 40,0
3203,4753,Negativo:,< a 15,1
3204,4753,Indeterminado:,15-25,1
3205,4753,Positivo:,> a 25,1
3206,4754,0 a 2 meses:,"0,40 a 1,40",1
3207,4754,3 a 6 meses:,"0,40 a 1,60",1
3208,4754,7 a 9 meses:,"0,40 a 1,70",1
3209,4754,10 a 12 meses:,"0,80 a 1,70",1
3210,4754,13 meses a 10 años:,"0,80 a 1,80",1
3211,4754,Mayor a 11 años:,"0,75 a 1,45",1
3212,3901,Valor de referencia:,0-11 años: 66-100,1
3213,4567,Concentracion Toxica:,Mayor a 400,1
3214,4757,Valor de referencia:,Negativo,1
3215,4758,Valor de referencia:,Negativo,1
3216,4758,,Valor de corte: 1/16,1
3217,4759,Valores de referencia:,"De 0,78 a 2,00",1
3218,4761,Valor normal,"0,06 a 0,35",1
3219,4760,Caninos,"0,6 a 3",1
3220,4760,Felinos,"0,7  2,6",1
3221,1389,Adultos:,22.000 a 132.000,1
3222,1389,Recien nacidos:,88.000 a 270.000,1
