IDAdicionalAplicado,IDProtocolo,IDAdicional,IDObraSocial,MontoFijo,PorcentajeSP
268,267,1,4,0,0
269,267,2,4,0,0
270,267,3,4,0,0
271,268,1,4,0,0
272,268,2,4,0,0
273,268,3,4,0,0
274,270,1,4,0,0
275,271,1,4,0,0
276,272,1,4,0,0
277,273,1,4,0,0
278,274,1,4,0,0
279,275,1,4,0,0
280,276,1,4,0,0
281,277,1,4,0,0
282,278,1,4,0,0
283,279,1,4,0,0
284,280,1,4,0,0
285,281,1,4,0,0
286,282,1,4,0,0
287,283,1,4,0,0
288,284,1,4,0,0
289,285,1,4,0,0
290,286,1,4,0,0
291,287,1,4,0,0
292,288,1,4,0,0
293,288,2,4,0,0
294,288,3,4,0,0
295,289,1,4,0,0
296,289,2,4,0,0
297,289,3,4,0,0
298,290,1,4,0,0
299,291,1,4,0,0
300,292,1,4,0,0
301,293,1,4,0,0
302,294,1,4,0,0
303,295,1,4,0,0
304,295,2,4,0,0
305,295,3,4,0,0
306,296,1,4,0,0
307,296,2,4,0,0
308,296,3,4,0,0
309,297,1,4,0,0
310,298,1,4,0,0
311,299,1,4,0,0
312,300,1,4,0,0
313,300,2,4,0,0
314,300,3,4,0,0
315,301,1,4,0,0
316,301,2,4,0,0
317,301,3,4,0,0
318,302,1,4,0,0
319,302,2,4,0,0
320,302,3,4,0,0
321,303,1,4,0,0
322,303,2,4,0,0
323,303,3,4,0,0
324,304,1,4,0,0
325,306,1,4,0,0
326,307,1,4,0,0
327,308,1,4,0,0
328,309,1,4,0,0
329,310,1,4,0,0
330,311,1,4,0,0
331,312,1,4,0,0
332,313,1,4,0,0
333,314,1,4,0,0
334,315,1,4,0,0
335,316,1,4,0,0
336,317,1,4,0,0
337,318,1,4,0,0
338,319,1,4,0,0
339,320,1,4,0,0
340,321,1,4,0,0
341,322,1,4,0,0
342,323,1,4,0,0
343,324,1,4,0,0
344,325,1,4,0,0
345,326,1,4,0,0
346,327,1,4,0,0
347,328,1,4,0,0
348,329,1,4,0,0
349,330,1,4,0,0
350,331,1,4,0,0
351,332,1,4,0,0
352,333,1,4,0,0
353,334,1,4,0,0
354,335,1,4,0,0
355,336,1,4,0,0
356,337,1,4,0,0
357,338,1,4,0,0
358,339,1,4,0,0
359,340,1,4,0,0
360,341,1,4,0,0
361,342,1,4,0,0
362,343,1,4,0,0
363,344,1,4,0,0
364,345,1,4,0,0
365,346,1,4,0,0
366,347,1,4,0,0
367,348,1,4,0,0
368,349,1,4,0,0
369,350,1,4,0,0
370,351,1,4,0,0
371,352,1,4,0,0
372,353,1,4,0,0
373,354,1,4,0,0
374,355,1,4,0,0
375,356,1,4,0,0
376,357,1,4,0,0
377,358,1,4,0,0
378,359,1,4,0,0
379,360,1,4,0,0
380,361,1,4,0,0
381,362,1,4,0,0
382,363,1,4,0,0
383,364,1,4,0,0
384,365,1,4,0,0
385,366,1,4,0,0
386,367,1,4,0,0
387,368,1,4,0,0
388,369,1,4,0,0
389,370,1,4,0,0
390,371,1,4,0,0
391,372,1,4,0,0
392,373,1,4,0,0
393,374,1,4,0,0
394,375,1,4,0,0
395,376,1,4,0,0
396,377,1,4,0,0
397,378,1,4,0,0
398,379,1,4,0,0
399,380,1,4,0,0
400,381,1,4,0,0
401,382,1,4,0,0
402,383,1,4,0,0
403,384,1,4,0,0
404,385,1,4,0,0
405,386,1,4,0,0
406,388,1,4,0,0
407,389,1,4,0,0
408,390,1,4,0,0
409,391,1,2,0,0
410,392,1,4,0,0
411,393,1,4,0,0
412,394,1,4,0,0
413,395,1,4,0,0
414,396,1,4,0,0
415,397,1,4,0,0
416,398,1,4,0,0
417,399,1,4,0,0
418,399,2,4,0,0
419,399,3,4,0,0
420,400,1,4,0,0
421,400,2,4,0,0
422,400,3,4,0,0
423,401,1,4,0,0
424,402,1,4,0,0
425,403,1,4,0,0
426,404,1,4,0,0
427,405,1,4,0,0
428,406,1,4,0,0
429,407,1,4,0,0
430,408,1,4,0,0
431,409,1,4,0,0
432,409,2,4,0,0
433,409,3,4,0,0
434,410,1,4,0,0
435,410,2,4,0,0
436,410,3,4,0,0
437,411,1,4,0,0
438,411,2,4,0,0
439,411,3,4,0,0
440,412,1,4,0,0
441,412,2,4,0,0
442,412,3,4,0,0
443,413,1,4,0,0
444,414,1,4,0,0
445,415,1,4,0,0
446,416,1,4,0,0
447,417,1,4,0,0
448,418,1,4,0,0
449,419,1,4,0,0
450,420,1,4,0,0
451,421,1,4,0,0
452,422,1,4,0,0
453,423,1,4,0,0
454,424,1,4,0,0
455,425,1,4,0,0
456,426,1,4,0,0
457,427,1,4,0,0
458,428,1,4,0,0
459,429,1,4,0,0
460,430,1,4,0,0
461,431,1,4,0,0
462,432,1,4,0,0
463,433,1,4,0,0
464,434,1,4,0,0
465,435,1,4,0,0
466,436,1,4,0,0
467,437,1,4,0,0
468,438,1,4,0,0
469,439,1,4,0,0
470,440,1,4,0,0
471,441,1,4,0,0
472,442,1,4,0,0
473,443,1,4,0,0
474,444,1,4,0,0
475,445,1,4,0,0
476,446,1,4,0,0
477,446,2,4,0,0
478,446,3,4,0,0
479,447,1,4,0,0
480,447,2,4,0,0
481,447,3,4,0,0
482,448,1,4,0,0
483,448,2,4,0,0
484,448,3,4,0,0
485,450,1,4,0,0
486,451,1,4,0,0
487,452,1,4,0,0
488,453,1,4,0,0
489,454,1,4,0,0
490,455,1,4,0,0
491,456,1,4,0,0
492,457,1,4,0,0
493,458,1,4,0,0
494,459,1,4,0,0
495,459,2,4,0,0
496,459,3,4,0,0
497,460,1,4,0,0
498,460,2,4,0,0
499,460,3,4,0,0
500,461,1,4,0,0
501,462,1,4,0,0
502,463,1,4,0,0
503,464,1,4,0,0
504,465,1,4,0,0
505,466,1,4,0,0
506,467,1,4,0,0
507,468,1,4,0,0
508,469,1,4,0,0
509,470,1,4,0,0
510,471,1,4,0,0
511,472,1,4,0,0
512,473,1,4,0,0
513,474,1,4,0,0
514,475,1,4,0,0
515,476,1,4,0,0
516,477,1,4,0,0
517,478,1,4,0,0
518,479,1,4,0,0
519,480,1,4,0,0
520,481,1,4,0,0
521,482,1,4,0,0
522,483,1,4,0,0
523,484,1,4,0,0
524,485,1,4,0,0
525,486,1,4,0,0
526,487,1,4,0,0
527,488,1,4,0,0
528,489,1,4,0,0
529,490,1,4,0,0
530,491,1,4,0,0
531,492,1,4,0,0
532,493,1,4,0,0
533,493,2,4,0,0
534,493,3,4,0,0
535,494,1,4,0,0
536,494,2,4,0,0
537,494,3,4,0,0
538,495,1,4,0,0
539,495,2,4,0,0
540,495,3,4,0,0
541,496,1,4,0,0
542,496,2,4,0,0
543,496,3,4,0,0
544,497,1,4,0,0
545,498,1,4,0,0
546,499,1,4,0,0
547,500,1,4,0,0
548,501,1,4,0,0
549,502,1,4,0,0
550,503,1,4,0,0
551,504,1,4,0,0
552,505,1,4,0,0
553,506,1,4,0,0
554,507,1,4,0,0
555,508,1,4,0,0
556,509,1,4,0,0
557,510,1,4,0,0
558,511,1,4,0,0
559,512,1,4,0,0
560,513,1,4,0,0
561,514,1,4,0,0
562,515,1,4,0,0
563,516,1,4,0,0
564,516,2,4,0,0
565,516,3,4,0,0
566,517,1,4,0,0
567,517,2,4,0,0
568,517,3,4,0,0
569,518,1,4,0,0
570,519,1,4,0,0
571,520,1,4,0,0
572,521,1,4,0,0
573,522,1,4,0,0
574,523,1,4,0,0
575,524,1,4,0,0
576,525,1,4,0,0
577,526,1,4,0,0
578,527,1,4,0,0
579,528,1,4,0,0
580,529,1,4,0,0
581,530,1,4,0,0
582,531,1,4,0,0
583,532,1,7,0,0
584,532,2,7,0,0
585,532,3,7,0,0
586,533,1,4,0,0
587,534,1,4,0,0
588,535,1,4,0,0
589,536,1,4,0,0
590,537,1,7,0,0
591,538,1,4,0,0
592,539,1,4,0,0
593,540,1,4,0,0
594,541,1,4,0,0
595,542,1,4,0,0
596,543,1,4,0,0
597,544,1,4,0,0
598,545,1,4,0,0
599,546,1,4,0,0
600,547,1,4,0,0
601,548,1,4,0,0
602,549,1,4,0,0
603,550,1,4,0,0
604,551,1,4,0,0
605,552,1,4,0,0
606,553,1,4,0,0
607,554,1,4,0,0
608,555,1,4,0,0
609,556,1,4,0,0
610,557,1,4,0,0
611,558,1,4,0,0
612,559,1,4,0,0
613,560,1,4,0,0
614,561,1,4,0,0
615,563,1,9,0,0
616,564,1,1,0,0
617,565,1,7,0,0
618,566,1,4,0,0
